POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	267	2	134	70	15	0	
2	Chase Elliott	9	Chevrolet	267	15	0	40	5	0	
3	William Byron	24	Chevrolet	267	9	26	49	15	0	
4	Christopher Bell	20	Toyota	267	1	31	51	18	0	
5	Ty Gibbs	54	Toyota	267	3	0	39	7	0	
6	Chris Buescher	17	Ford	267	10	0	35	4	0	
7	Kyle Larson	5	Chevrolet	267	5	62	48	18	0	
8	Chase Briscoe	19	Toyota	267	18	0	29	0	0	
9	Bubba Wallace	23	Toyota	267	4	0	41	13	0	
10	Brad Keselowski	6	Ford	267	28	4	27	0	0	
11	Ryan Preece	60	Ford	267	8	0	33	7	0	
12	Austin Dillon	3	Chevrolet	267	11	0	25	0	0	
13	Tyler Reddick	45	Toyota	267	7	0	30	6	0	
14	Zane Smith	38	Ford	267	12	0	23	0	0	
15	Joey Logano	22	Ford	267	21	3	22	0	0	
16	Ryan Blaney	12	Ford	267	6	5	23	2	0	
17	Ross Chastain	1	Chevrolet	267	17	0	20	0	0	
18	Daniel Suarez	7	Chevrolet	267	13	0	19	0	0	
19	Austin Cindric	2	Ford	267	31	0	19	1	0	
20	Erik Jones	43	Toyota	267	14	0	17	0	0	
21	John Hunter Nemechek	42	Toyota	266	26	0	16	0	0	
22	Carson Hocevar	77	Chevrolet	266	19	1	15	0	0	
23	Riley Herbst	35	Toyota	266	20	0	14	0	0	
24	AJ Allmendinger	16	Chevrolet	265	29	0	13	0	0	
25	Justin Allgaier	48	Chevrolet	265	22	0	0	0	0	
26	Michael McDowell	71	Chevrolet	265	30	0	11	0	0	
27	Cole Custer	41	Chevrolet	265	35	1	10	0	0	
28	Kyle Busch	8	Chevrolet	265	24	0	9	0	0	
29	Ricky Stenhouse Jr.	47	Chevrolet	265	23	0	8	0	0	
30	Noah Gragson	4	Ford	265	34	0	7	0	0	
31	Josh Berry	21	Ford	264	32	0	6	0	0	
32	Connor Zilisch	88	Chevrolet	264	25	0	5	0	0	
33	Ty Dillon	10	Chevrolet	264	36	0	4	0	0	
34	Todd Gilliland	34	Ford	264	27	0	3	0	0	
35	Cody Ware	51	Chevrolet	263	33	0	2	0	0	
36	Shane van Gisbergen	97	Chevrolet	262	16	0	1	0	0	
