POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Shane van Gisbergen	88	Chevrolet	110	1	97	59	19	0
2	Chase Briscoe	19	Toyota	110	2	2	44	9	0
3	Chase Elliott	9	Chevrolet	110	13	0	35	1	0
4	Michael McDowell	71	Chevrolet	110	15	3	33	0	0
5	Christopher Bell	20	Toyota	110	10	1	32	0	0
6	Tyler Reddick	45	Toyota	110	8	0	31	0	0
7	Ty Gibbs	54	Toyota	110	6	0	32	2	0
8	William Byron	24	Chevrolet	110	3	0	36	7	0
9	Joey Logano	22	Ford	110	22	0	28	0	0
10	Kyle Busch	8	Chevrolet	110	17	0	35	8	0
11	Brad Keselowski	6	Ford	110	21	0	26	0	0
12	Ryan Preece	60	Ford	110	20	0	25	0	0
13	Josh Berry	21	Ford	110	25	0	24	0	0
14	Daniel Suarez	99	Chevrolet	110	19	0	23	0	0
15	Justin Haley	7	Chevrolet	110	29	0	23	1	0
16	Chris Buescher	17	Ford	110	14	0	24	3	0
17	Ty Dillon	10	Chevrolet	110	26	0	29	9	0
18	AJ Allmendinger	16	Chevrolet	110	5	0	19	0	0
19	Alex Bowman	48	Chevrolet	110	9	0	18	0	0
20	Denny Hamlin	11	Toyota	110	16	0	17	0	0
21	Austin Dillon	3	Chevrolet	110	33	0	16	0	0
22	Todd Gilliland	34	Ford	110	35	0	15	0	0
23	Cole Custer	41	Chevrolet	110	27	0	14	0	0
24	Ross Chastain	1	Chevrolet	110	4	4	23	10	0
25	Riley Herbst	35	Toyota	110	28	0	12	0	0
26	Bubba Wallace	23	Toyota	110	30	0	26	15	0
27	Zane Smith	38	Ford	110	12	0	10	0	0
28	John Hunter Nemechek	42	Toyota	110	18	0	9	0	0
29	Erik Jones	43	Toyota	110	31	0	8	0	0
30	Austin Cindric	2	Ford	110	24	0	7	0	0
31	Katherine Legge	78	Chevrolet	110	37	0	6	0	0
32	Carson Hocevar	77	Chevrolet	110	23	0	5	0	0
33	Ricky Stenhouse Jr.	47	Chevrolet	110	34	0	17	13	0
34	Cody Ware	51	Chevrolet	108	36	0	3	0	0
35	Kyle Larson	5	Chevrolet	108	11	3	11	9	0
36	Ryan Blaney	12	Ford	106	7	0	6	5	0
37	Noah Gragson	4	Ford	99	32	0	1	0	0
